,Year,Entidad,Tipo.de.delito,Enerosum,Eneromean,Febrerosum,Febreromean,Marzosum,Marzomean,Abrilsum,Abrilmean,Mayosum,Mayomean,Juniosum,Juniomean,Juliosum,Juliomean,Agostosum,Agostomean,Septiembresum,Septiembremean,Octubresum,Octubremean,Noviembresum,Noviembremean,Diciembresum,Diciembremean
101,2018,Chiapas,Violencia familiar,545,4.430894309,541,4.398373984,719,5.845528455,544,4.422764228,505,4.105691057,499,4.056910569,487,3.959349593,453,3.682926829,462,3.756097561,416,3.382113821,432,3.512195122,429,3.487804878
102,2018,Chihuahua,Violencia familiar,827,12.34328358,788,11.76119403,1004,14.98507463,1045,15.59701493,1155,17.23880597,1062,15.85074627,1048,15.64179104,995,14.85074627,998,14.89552239,871,13,720,10.74626866,714,10.65671642
103,2018,Ciudad de México,Violencia familiar,1449,85.23529412,1532,90.11764706,1769,104.0588235,1877,110.4117647,1892,111.2941176,1655,97.35294118,1744,102.5882353,1581,93,1673,98.41176471,1676,98.58823529,1570,92.35294118,1513,89
104,2018,Coahuila de Zaragoza,Violencia familiar,519,13.65789474,712,18.73684211,959,25.23684211,818,21.52631579,1159,30.5,1111,29.23684211,693,18.23684211,1007,26.5,728,19.15789474,662,17.42105263,771,20.28947368,652,17.15789474
105,2018,Colima,Violencia familiar,209,20.9,200,20,240,24,224,22.4,204,20.4,182,18.2,238,23.8,197,19.7,221,22.1,196,19.6,169,16.9,173,17.3
106,2018,Durango,Violencia familiar,463,11.87179487,417,10.69230769,539,13.82051282,533,13.66666667,546,14,595,15.25641026,489,12.53846154,481,12.33333333,405,10.38461538,429,11,365,9.358974359,333,8.538461538
107,2018,Guanajuato,Violencia familiar,772,16.7826087,733,15.93478261,940,20.43478261,993,21.58695652,1053,22.89130435,804,17.47826087,938,20.39130435,852,18.52173913,855,18.58695652,933,20.2826087,762,16.56521739,721,15.67391304
108,2018,Guerrero,Violencia familiar,206,2.543209877,254,3.135802469,301,3.716049383,238,2.938271605,217,2.679012346,194,2.395061728,252,3.111111111,240,2.962962963,215,2.654320988,254,3.135802469,214,2.641975309,249,3.074074074
109,2018,Hidalgo,Violencia familiar,351,4.178571429,410,4.880952381,437,5.202380952,413,4.916666667,487,5.797619048,491,5.845238095,324,3.857142857,542,6.452380952,444,5.285714286,467,5.55952381,428,5.095238095,289,3.44047619
110,2018,Jalisco,Violencia familiar,778,6.174603175,709,5.626984127,845,6.706349206,883,7.007936508,904,7.174603175,849,6.738095238,826,6.555555556,689,5.468253968,647,5.134920635,683,5.420634921,529,4.198412698,508,4.031746032
111,2018,México,Violencia familiar,468,3.744,547,4.376,644,5.152,589,4.712,568,4.544,557,4.456,489,3.912,445,3.56,510,4.08,704,5.632,488,3.904,487,3.896
112,2018,Michoacán de Ocampo,Violencia familiar,109,0.96460177,82,0.725663717,129,1.14159292,135,1.194690265,142,1.256637168,137,1.212389381,122,1.079646018,90,0.796460177,92,0.814159292,102,0.902654867,69,0.610619469,64,0.566371681
113,2018,Morelos,Violencia familiar,396,12,423,12.81818182,477,14.45454545,466,14.12121212,537,16.27272727,392,11.87878788,454,13.75757576,371,11.24242424,401,12.15151515,419,12.6969697,325,9.848484848,292,8.848484848
114,2018,Nayarit,Violencia familiar,23,1.15,35,1.75,37,1.85,42,2.1,37,1.85,21,1.05,23,1.15,29,1.45,46,2.3,35,1.75,23,1.15,53,2.65
115,2018,Nuevo León,Violencia familiar,997,19.54901961,1099,21.54901961,1372,26.90196078,1347,26.41176471,1574,30.8627451,1595,31.2745098,1788,35.05882353,1558,30.54901961,1563,30.64705882,1355,26.56862745,1130,22.15686275,1032,20.23529412
116,2018,Oaxaca,Violencia familiar,424,0.742556918,428,0.749562172,586,1.026269702,537,0.940455342,563,0.985989492,431,0.754816112,481,0.842381786,434,0.760070053,410,0.718038529,471,0.824868651,472,0.826619965,445,0.779334501
117,2018,Puebla,Violencia familiar,482,2.221198157,506,2.331797235,616,2.838709677,617,2.843317972,691,3.184331797,680,3.133640553,713,3.285714286,623,2.870967742,594,2.737327189,653,3.00921659,593,2.732718894,528,2.433179724
